id	rate
1001	0.272
1003	1.094
1005	0.115
1007	0.04
1009	0.081
1011	0.032
1013	0.099
1015	0.651
1017	0.059
1019	0.189
1021	0.177
1023	0.084
1025	0.065
1027	0.013
1029	0.08
1031	0.382
1033	0.161
1035	0.033
1037	0.061
1039	0.483
1041	0.072
1043	0.235
1045	0.274
1047	0.288
1049	0.362
1051	0.372
1053	0.142
1055	0.106
1057	0.019
1059	0.122
1061	0.165
1063	0.058
1065	0.036
1067	0.071
1069	0.857
1071	0.177
1073	2.042
1075	0.037
1077	0.281
1079	0.13
1081	1.208
1083	0.237
1085	0.023
1087	0.119
1089	2.229
1091	0.077
1093	0.12
1095	0.36
1097	1.494
1099	0.036
1101	0.628
1103	0.23
1105	0
1107	0.022
1109	0.148
1111	0.111
1113	0.484
1115	0.166
1117	0.706
1119	0.029
1121	0.631
1123	0.096
1125	0.883
1127	0.234
1129	0.051
1131	0.026
1133	0.178
2013	0.032
2016	0.134
2020	5.274
2050	1.432
2060	0.012
2068	0.003
2070	0.344
2090	1.77
2100	0.007
2105	0.165
2110	0.476
2122	1.516
2130	0.293
2150	0.289
2164	0.172
2170	2.061
2180	0.674
2185	0.575
2188	0.455
2195	0.146
2198	0.109
2220	0.383
2230	0.014
2240	0.078
2261	0.178
2270	0.766
2275	0.099
2282	0.02
2290	0.316
4001	0.281
4003	1.043
4005	2.459
4007	0.626
4009	0.174
4011	0.09
4012	0.208
4013	41.816
4015	1.545
4017	0.519
4019	14.492
4021	2.628
4023	0.222
4025	1.758
4027	1.659
5001	0.096
5003	0.318
5005	0.127
5007	1.547
5009	0.135
5011	0.094
5013	0.018
5015	0.086
5017	0.176
5019	0.27
5021	0.079
5023	0.208
5025	0.029
5027	0.249
5029	0.136
5031	0.558
5033	0.098
5035	0.411
5037	0.051
5039	0.032
5041	0.368
5043	0.202
5045	0.607
5047	0.04
5049	0.044
5051	0.508
5053	0.087
5055	0.339
5057	0.239
5059	0.12
5061	0.105
5063	0.093
5065	0.036
5067	0.053
5069	0.62
5071	0.161
5073	0.14
5075	0.094
5077	0.024
5079	0.216
5081	0.08
5083	0.094
5085	0.396
5087	0.034
5089	0.068
5091	0.3
5093	0.411
5095	0.012
5097	0.004
5099	0.035
5101	0.007
5103	0.128
5105	0.041
5107	0.02
5109	0.112
5111	0.056
5113	0.076
5115	0.415
5117	0.028
5119	1.704
5121	0.118
5123	0.075
5125	0.255
5127	0.056
5129	0
5131	0.737
5133	0.067
5135	0.135
5137	0.175
5139	0.448
5141	0.282
5143	0.987
5145	0.181
5147	0.043
5149	0.077
6001	21.168
6003	0
6005	0.195
6007	3.284
6009	0.17
6011	0.089
6013	7.953
6015	0.284
6017	1.68
6019	12.454
6021	0.159
6023	2.162
6025	1.057
6027	0.462
6029	6.718
6031	1.201
6033	0.357
6035	0.148
6037	90.413
6039	0.843
6041	2.986
6043	0.225
6045	0.661
6047	3.206
6049	0.134
6051	0.408
6053	10.07
6055	0.956
6057	0.653
6059	27.655
6061	2.84
6063	0.042
6065	14.032
6067	14.501
6069	0.461
6071	10.816
6073	26.354
6075	23.984
6077	4.417
6079	3.536
6081	8.6
6083	10.165
6085	25.692
6087	6.08
6089	1.444
6091	0.028
6093	0.302
6095	2.833
6097	5.275
6099	3.747
6101	0.692
6103	0.554
6105	0.169
6107	3.547
6109	0.306
6111	6.808
6113	8.353
6115	0.528
8001	3.066
8003	0.153
8005	4.293
8007	0.079
8009	0.029
8011	0.015
8013	8.673
8014	0.583
8015	0.33
8017	0.008
8019	0.062
8021	0.057
8023	0.017
8025	0.035
8027	0
8029	0.235
8031	10.678
8033	0.006
8035	1.748
8037	0.473
8039	0.146
8041	4.341
8043	0.255
8045	0.634
8047	0.018
8049	0.106
8051	1.061
8053	0.038
8055	0.061
8057	0.013
8059	5.811
8061	0.005
8063	0.036
8065	0.05
8067	1.116
8069	7.873
8071	0.078
8073	0.021
8075	0.25
8077	1.73
8079	0.002
8081	0.077
8083	0.176
8085	0.295
8087	0.141
8089	0.201
8091	0.06
8093	0.05
8095	0.031
8097	0.529
8099	0.18
8101	1.052
8103	0.075
8105	0.059
8107	0.543
8109	0.098
8111	0.045
8113	0.25
8115	0.014
8117	0.525
8119	0.117
8121	0.036
8123	2.58
8125	0.076
9001	5.112
9003	5.718
9005	0.607
9007	0.924
9009	5.673
9011	1.672
9013	0.559
9015	0.398
10001	1.004
10003	2.312
10005	2.153
11001	13.059
12001	5.563
12003	0.021
12005	1.847
12007	0.043
12009	5.527
12011	15.787
12013	0.106
12015	2.181
12017	0.924
12019	1.43
12021	4.547
12023	0.429
12027	0.219
12029	0.096
12031	6.579
12033	2.281
12035	0.705
12037	0.101
12039	0.364
12041	0.037
12043	0.023
12045	0.075
12047	0.11
12049	0.456
12051	0.412
12053	0.863
12055	0.707
12057	10.937
12059	0.052
12061	1.036
12063	0.208
12065	0.043
12067	0.076
12069	2.147
12071	6.245
12073	2.202
12075	0.259
12077	0.029
12079	0.44
12081	2.894
12083	3.018
12085	1.177
12086	21.473
12087	5
12089	1.15
12091	2.194
12093	0.226
12095	12.253
12097	3.314
12099	11.47
12101	3.196
12103	10.509
12105	6.077
12107	0.459
12109	2.712
12111	1.713
12113	1.115
12115	3.935
12117	3.565
12119	1.332
12121	0.196
12123	0.062
12125	0.031
12127	5.166
12129	0.139
12131	0.876
12133	0.197
13001	0.59
13003	0.051
13005	0.104
13007	0.071
13009	0.463
13011	0.054
13013	0.266
13015	0.734
13017	0.156
13019	0.081
13021	0.993
13023	0.027
13025	0.111
13027	0.068
13029	0.467
13031	0.336
13033	0.132
13035	0.069
13037	0.018
13039	0.301
13043	0.112
13045	0.681
13047	0.321
13049	0.069
13051	1.885
13053	0.169
13055	0.059
13057	0.907
13059	1.614
13061	0.007
13063	1.927
13065	0.273
13067	4.2
13069	0.812
13071	0.253
13073	0.608
13075	0.116
13077	0.437
13079	0.019
13081	0.142
13083	0.019
13085	0.074
13087	0.778
13089	6.237
13091	0.053
13093	0.259
13095	0.38
13097	0.423
13099	0.111
13101	0.141
13103	0.198
13105	0.04
13107	0.496
13109	0.409
13111	0.071
13113	0.938
13115	0.631
13117	1.349
13119	0.165
13121	6.836
13123	0.224
13125	0.006
13127	0.844
13129	0.518
13131	0.42
13133	0.044
13135	9.05
13137	0.133
13139	1.479
13141	0.036
13143	0.094
13145	0.399
13147	0.04
13149	0.022
13151	0.728
13153	0.677
13155	0.058
13157	0.313
13159	0.118
13161	0.161
13163	0.1
13165	0
13167	0.301
13169	0.073
13171	0.016
13173	0.284
13175	0.165
13177	0.106
13179	0.956
13181	0.012
13183	0.233
13185	1.611
13187	0.111
13189	0.16
13191	0.061
13193	0.057
13195	0.091
13197	0.068
13199	0.092
13201	0.118
13205	0.358
13207	0.101
13209	0.101
13211	0.101
13213	0.071
13215	0.995
13217	0.286
13219	0.144
13221	0.067
13223	0.536
13225	0.245
13227	0.092
13229	0.1
13231	0.054
13233	0.181
13235	0.011
13237	0.126
13239	0.022
13241	0.068
13243	0.055
13245	0.886
13247	0.765
13249	0.039
13251	0.055
13253	0.04
13255	0.38
13257	0.021
13259	0.01
13261	0.186
13263	0.187
13265	0.042
13267	0.562
13269	0.027
13271	0.063
13273	0.022
13275	0.444
13277	0.218
13279	0.138
13281	0.012
13283	0
13285	0.846
13287	0.05
13289	0
13291	0.102
13293	0.189
13295	0.108
13297	0.424
13299	0.089
13301	0.01
13303	0.111
13305	0.336
13307	0
13309	0.02
13311	0.047
13313	1.036
13315	0.023
13317	0.006
13319	0.023
13321	0.079
15001	1.738
15003	17.143
15005	0.016
15007	0.714
15009	1.889
16001	6.5
16003	0.054
16005	0.739
16007	0.032
16009	0.114
16011	0.33
16013	0.337
16015	0.071
16017	0.625
16019	0.907
16021	0.054
16023	0
16025	0.008
16027	2.918
16029	0.027
16031	0.297
16033	0.022
16035	0.048
16037	0.042
16039	0.199
16041	0.088
16043	0.035
16045	0.179
16047	0.132
16049	0.079
16051	0.15
16053	0.113
16055	0.998
16057	0.783
16059	0.118
16061	0.031
16063	0.04
16065	0.723
16067	0.075
16069	0.439
16071	0.005
16073	0.089
16075	0.221
16077	0.024
16079	0.091
16081	0.094
16083	0.662
16085	0.194
16087	0.125
17001	0.389
17003	0.058
17005	0.064
17007	0.412
17009	0.061
17011	0.171
17013	0.042
17015	0.059
17017	0.051
17019	3.09
17021	0.117
17023	0.1
17025	0.092
17027	0.175
17029	0.331
17031	48.264
17033	0.133
17035	0.057
17037	0.739
17039	0.055
17041	0.452
17043	5.63
17045	0.089
17047	0.051
17049	0.284
17051	0.22
17053	0.05
17055	0.177
17057	0.181
17059	0.029
17061	0.066
17063	0.229
17065	0.001
17067	0.059
17069	0.017
17071	0.016
17073	0.242
17075	0.191
17077	0.659
17079	0.035
17081	0.358
17083	0.056
17085	0.106
17087	0.031
17089	4.438
17091	0.618
17093	0.588
17095	0.405
17097	4.632
17099	0.648
17101	0.072
17103	0.135
17105	0.158
17107	0.167
17109	0.34
17111	1.568
17113	1.395
17115	0.86
17117	0.177
17119	1.417
17121	0.321
17123	0.079
17125	0.108
17127	0.097
17129	0.045
17131	0.109
17133	0.035
17135	0.093
17137	0.256
17139	0.398
17141	0.252
17143	1.301
17145	0.071
17147	0.089
17149	0.152
17151	0.015
17153	0
17155	0.014
17157	0.104
17159	0.127
17161	0.927
17163	1.521
17165	0.14
17167	1.11
